created_at,count
2023-09-23 23:46:29 -0600,24
2023-09-24 01:34:12 -0600,21.5
2023-09-24 01:49:58 -0600,20
2023-09-24 01:54:22 -0600,18.5
2023-09-24 02:07:09 -0600,17.5
2023-09-24 02:14:27 -0600,18.5
2023-09-24 02:24:09 -0600,18
2023-09-24 02:34:46 -0600,17.5
2023-09-24 02:45:24 -0600,17
2023-09-24 02:54:25 -0600,17
2023-09-24 03:04:48 -0600,18.5
2023-09-24 03:16:12 -0600,22
2023-09-24 03:24:27 -0600,18.5
2023-09-24 03:34:49 -0600,20.5
2023-09-24 03:45:07 -0600,20.5
2023-09-24 03:54:45 -0600,21
2023-09-24 04:04:34 -0600,21.5
2023-09-24 04:14:46 -0600,20
2023-09-24 04:24:47 -0600,17
2023-09-24 04:34:50 -0600,16.5
2023-09-24 04:44:49 -0600,17.5
2023-09-24 04:55:05 -0600,18
2023-09-24 05:04:51 -0600,18
2023-09-24 05:17:58 -0600,17
2023-09-24 05:25:10 -0600,17.5
2023-09-24 05:34:51 -0600,19.5
2023-09-24 05:44:20 -0600,19.5
2023-09-24 05:55:45 -0600,15.5
2023-09-24 06:04:52 -0600,20
2023-09-24 06:15:22 -0600,18
2023-09-24 06:25:44 -0600,18.5
2023-09-25 02:03:21 -0600,22.5
2023-09-25 02:14:37 -0600,22.5
2023-09-25 02:23:44 -0600,20.5
2023-09-25 02:33:56 -0600,21.5
2023-09-25 02:43:21 -0600,20.5
2023-09-25 02:53:47 -0600,19.5
2023-09-25 03:04:17 -0600,19.5
2023-09-25 03:14:28 -0600,21.5
2023-09-25 03:23:47 -0600,21.5
2023-09-25 03:33:23 -0600,18.5
2023-09-25 03:43:23 -0600,17.5
2023-09-25 03:53:42 -0600,22
2023-09-25 04:03:38 -0600,22
2023-09-25 04:13:47 -0600,18.5
2023-09-25 04:23:29 -0600,17.5
2023-09-25 04:33:36 -0600,16.5
2023-09-25 04:43:22 -0600,17
2023-09-25 04:53:47 -0600,19
2023-09-25 05:04:04 -0600,19.5
